State,predicted_risk
Andaman and Nicobar Islands,0.07677647
Andhra Pradesh,0.086533956
Arunachal Pradesh,0.0965884
Assam,0.05407029
Bihar,0.07876439
Chandigarh,0.058432925
Chhattisgarh,0.15988448
Delhi,0.056451328
Goa,0.051635243
Gujarat,0.082663275
Haryana,0.05850154
Himachal Pradesh,0.043338396
Jammu and Kashmir,0.030711148
Jharkhand,0.07411109
Karnataka,0.057955585
Kerala,0.090659514
Madhya Pradesh,0.064439654
Maharashtra,0.06628999
Meghalaya,0.058688838
Odisha,0.08464142
Puducherry,0.07435144
Punjab,0.042646404
Rajasthan,0.059446197
Tamil Nadu,0.081147484
Telangana,0.06795805
The Dadra and Nagar Haveli and Daman and Diu,0.033509336
Tripura,0.057921525
Uttar Pradesh,0.058783963
Uttarakhand,0.06684741
West Bengal,0.08285454
