Country,Year,Month,actual_risk,predicted_risk,smoothed_risk,risk_level,risk_direction
IND,2020,1,-0.4788001947289164,-0.1247188551800775,-0.1247188551800775,LOW,STABLE
IND,2020,2,0.3197190693546931,0.2028231771603904,0.039052160990156445,HIGH,UP
IND,2020,3,0.9777513930174324,0.629866451776701,0.23599025791900463,HIGH,UP
IND,2020,4,1.472548129760992,0.7482517156258695,0.5269804481876537,HIGH,UP
IND,2020,5,1.0416216159382672,0.6245782045295837,0.667565457310718,HIGH,DOWN
IND,2020,6,0.6105991814801824,0.4387184945019425,0.6038494715524652,HIGH,DOWN
IND,2020,7,0.2363114058577761,0.1680560771966512,0.4104509254093925,HIGH,DOWN
IND,2020,8,0.0177766889162951,-0.0138737804380918,0.19763359708683395,HIGH,DOWN
IND,2020,9,-0.0896248720666871,-0.0700819829024898,0.028033437952023194,MEDIUM,DOWN
IND,2020,10,-0.1559956935073372,-0.1003431616558627,-0.06143297499881476,LOW,DOWN
IND,2020,11,-0.2839223602689745,-0.1019479126833078,-0.09079101908055344,LOW,DOWN
IND,2020,12,-0.4351894133773786,-0.1027150575050664,-0.10166871061474564,LOW,DOWN
IND,2021,1,-0.5560363896523236,-0.1059038229882739,-0.10352226439221603,LOW,DOWN
IND,2021,2,-0.5925412677484108,-0.1083666698935353,-0.10566185012895853,LOW,DOWN
IND,2021,3,-0.5695620442785762,-0.1084481935424768,-0.107572895474762,LOW,DOWN
IND,2021,4,-0.5327943667263827,-0.1076464923663168,-0.10815378526744297,LOW,UP
IND,2021,5,-0.5357602223867859,-0.1081025384696836,-0.1080657414594924,LOW,DOWN
IND,2021,6,-0.5510608057800029,-0.1036782732494335,-0.10647576802847797,LOW,UP
IND,2021,7,-0.5808389708015737,-0.1060799456824627,-0.1059535858005266,LOW,DOWN
IND,2021,8,-0.6237418348430152,-0.1065668507733834,-0.10544168990175988,LOW,DOWN
IND,2021,9,-0.6877071690848289,-0.1051372681850088,-0.10592802154695163,LOW,UP
IND,2021,10,-0.7066164661420524,-0.1040562782848634,-0.10525346574775186,LOW,UP
IND,2021,11,-0.6533962446533995,-0.1007667287069875,-0.1033200917256199,LOW,UP
IND,2021,12,-0.6040380792357513,-0.0999320140344949,-0.10158500700878192,LOW,UP
IND,2022,1,-0.4936127470621816,-0.1021237496125948,-0.1009408307846924,LOW,DOWN
IND,2022,2,-0.3530084591982021,-0.0851654655057527,-0.09574040971761412,MEDIUM,UP
IND,2022,3,-0.3314026371055037,-0.0731772528234548,-0.08682215598060077,MEDIUM,UP
IND,2022,4,-0.2810681367655219,-0.0903197481589083,-0.08288748882937193,MEDIUM,DOWN
IND,2022,5,-0.3094218159342757,-0.0765742589300814,-0.08002375330414817,MEDIUM,UP
IND,2022,6,-0.2705420828909035,-0.0323982882207561,-0.0664307651032486,HIGH,UP
IND,2022,7,-0.4025429765053909,-0.0273544200054773,-0.04544232238543827,HIGH,UP
IND,2022,8,-0.5056502617910399,-0.0301328528102442,-0.029961853678825867,HIGH,DOWN
IND,2022,9,-0.5580715886029936,-0.0303664986476272,-0.0292845904877829,HIGH,DOWN
IND,2022,10,-0.6594784941109809,-0.0296109423971991,-0.03003676461835683,HIGH,UP
IND,2022,11,-0.7924116768415975,-0.0326854444835827,-0.03088762850946967,HIGH,DOWN
IND,2022,12,-0.8780341579170517,-0.0387803776427947,-0.03369225484119217,HIGH,DOWN
IND,2023,1,-0.874578792259193,-0.0373054358555167,-0.036257085993964704,HIGH,UP
IND,2023,2,-0.8376077941028893,-0.0384763029122102,-0.03818737213684053,HIGH,DOWN
IND,2023,3,-0.9053876101082854,-0.0374128049494818,-0.0377315145724029,HIGH,UP
IND,2023,4,-0.9835157367882044,-0.0404477726723037,-0.03877896017799857,MEDIUM,DOWN
IND,2023,5,-1.132805136998641,-0.0394029461513826,-0.039087841257722696,HIGH,UP
IND,2023,6,-1.2568289223879632,-0.0409216345728463,-0.04025745113217754,MEDIUM,DOWN
IND,2023,7,-1.349956127945812,-0.0400465943941048,-0.040123725039444565,MEDIUM,UP
IND,2023,8,-1.4238839662535028,-0.0377094260765469,-0.039559218347832666,HIGH,UP
IND,2023,9,-1.446340381266224,-0.0393699235086844,-0.03904198132644537,HIGH,DOWN
IND,2023,10,-1.4807181732680892,-0.0480681740509148,-0.041715841212048695,MEDIUM,DOWN
IND,2023,11,-1.529467401109934,-0.0511990519505745,-0.0462123831700579,MEDIUM,DOWN
IND,2023,12,-1.6018021051160238,-0.04012674630972,-0.04646465743706977,MEDIUM,UP
IND,2024,1,-1.665753733678046,-0.0443710339001737,-0.045232277386822735,MEDIUM,DOWN
IND,2024,2,-1.7347899338269497,-0.050398062074285,-0.044965280761392896,MEDIUM,DOWN
IND,2024,3,-1.8377954845229791,-0.0730096690732758,-0.055926255015911495,MEDIUM,DOWN
IND,2024,4,-1.8078124722891664,-0.0987158055728276,-0.07404117890679614,MEDIUM,DOWN
IND,2024,5,-1.8543259806370884,-0.0807153847820707,-0.08414695314272469,MEDIUM,UP
IND,2024,6,-1.941968934721807,-0.0903795541938367,-0.08993691484957833,MEDIUM,DOWN
IND,2024,7,-2.155280988101749,-0.1034487885000532,-0.09151457582532019,LOW,DOWN
IND,2024,8,-2.3159689262844174,-0.0987844319583295,-0.09753759155073978,MEDIUM,UP
IND,2024,9,-2.3475657268324013,-0.1062235470401797,-0.10281892249952079,LOW,DOWN
IND,2024,10,-2.337450872382532,-0.1004658027240762,-0.10182459390752846,LOW,UP
IND,2024,11,-2.2936010126672457,-0.099649559685052,-0.10211296981643596,MEDIUM,UP
