Country,Year,Month,actual_risk,predicted_risk_xgb,predicted_risk_rf,predicted_risk_ensemble
IND,2020,1,-0.4788001947289164,-0.043352015,-0.24676911311281913,-0.12471885518007753
IND,2020,2,0.3197190693546931,0.19310392,0.21740203768404376,0.20282317716039044
IND,2020,3,0.9777513930174324,0.555125,0.7419785875992918,0.629866451776701
IND,2020,4,1.472548129760992,0.5808118,0.9994115912058633,0.7482517156258695
IND,2020,5,1.0416216159382672,0.543518,0.7461684862203901,0.6245782045295837
IND,2020,6,0.6105991814801824,0.34693995,0.5763862945815776,0.43871849450194256
IND,2020,7,0.2363114058577761,0.17750609,0.1538810479999919,0.16805607719665128
IND,2020,8,0.0177766889162951,0.024597993,-0.07158144217304006,-0.013873780438091815
IND,2020,9,-0.0896248720666871,-0.01740525,-0.14909708209162648,-0.07008198290248988
IND,2020,10,-0.1559956935073372,-0.01740525,-0.22475002897505855,-0.10034316165586271
IND,2020,11,-0.2839223602689745,-0.017751593,-0.22824239152848652,-0.10194791268330786
IND,2020,12,-0.4351894133773786,-0.018845867,-0.2285188417829455,-0.10271505750506643
IND,2021,1,-0.5560363896523236,-0.018845867,-0.23649075549096424,-0.10590382298827394
IND,2021,2,-0.5925412677484108,-0.020975761,-0.23945303119786676,-0.10836666989353537
IND,2021,3,-0.5695620442785762,-0.02085525,-0.23983760770364693,-0.10844819354247687
IND,2021,4,-0.5327943667263827,-0.02031021,-0.23865091395706656,-0.1076464923663168
IND,2021,5,-0.5357602223867859,-0.02085525,-0.2389734700216639,-0.10810253846968365
IND,2021,6,-0.5510608057800029,-0.02085525,-0.22791280697103872,-0.10367827324943357
IND,2021,7,-0.5808389708015737,-0.022557534,-0.23136356232433694,-0.10607994568246276
IND,2021,8,-0.6237418348430152,-0.022557534,-0.23258082505163874,-0.10656685077338349
IND,2021,9,-0.6877071690848289,-0.022557534,-0.2290068685807021,-0.10513726818500883
IND,2021,10,-0.7066164661420524,-0.022557534,-0.2263043938303385,-0.1040562782848634
IND,2021,11,-0.6533962446533995,-0.01993495,-0.22201439384453442,-0.1007667287069875
IND,2021,12,-0.6040380792357513,-0.019318782,-0.2208518609995773,-0.09993201403449498
IND,2022,1,-0.4936127470621816,-0.022557534,-0.2214730721496671,-0.10212374961259484
IND,2022,2,-0.3530084591982021,0.0037604643,-0.2185543603821564,-0.0851654655057527
IND,2022,3,-0.3314026371055037,0.017451225,-0.20911996933157925,-0.07317725282345489
IND,2022,4,-0.2810681367655219,-0.010129012,-0.2106058519132596,-0.09031974815890836
IND,2022,5,-0.3094218159342757,0.0055164164,-0.19971027203144967,-0.07657425893008149
IND,2022,6,-0.2705420828909035,0.03482177,-0.13322837904242898,-0.03239828822075616
IND,2022,7,-0.4025429765053909,0.039543364,-0.12770110003450724,-0.027354420005477324
IND,2022,8,-0.5056502617910399,0.037230756,-0.13117826622630274,-0.030132852810244228
IND,2022,9,-0.5580715886029936,0.035648998,-0.12938974342867002,-0.030366498647627298
IND,2022,10,-0.6594784941109809,0.035648998,-0.12750085280259973,-0.029610942397199184
IND,2022,11,-0.7924116768415975,0.031480543,-0.12893442711339526,-0.03268544448358271
IND,2022,12,-0.8780341579170517,0.020100784,-0.12710212130468168,-0.03878037764279477
IND,2023,1,-0.874578792259193,0.022723366,-0.1273486384670659,-0.03730543585551676
IND,2023,2,-0.8376077941028893,0.020100784,-0.12634193447822034,-0.03847630291221023
IND,2023,3,-0.9053876101082854,0.02333953,-0.12854131038163982,-0.03741280494948182
IND,2023,4,-0.9835157367882044,0.02028352,-0.13154471341030863,-0.04044777267230379
IND,2023,5,-1.132805136998641,0.020100784,-0.12865854257615147,-0.03940294615138268
IND,2023,6,-1.2568289223879632,0.020702168,-0.13335734034727675,-0.040921634572846345
IND,2023,7,-1.349956127945812,0.021127662,-0.13180797991741977,-0.04004659439410481
IND,2023,8,-1.4238839662535028,0.021729046,-0.12686713584099113,-0.037709426076546905
IND,2023,9,-1.446340381266224,0.020169374,-0.12867887150253002,-0.039369923508684415
IND,2023,10,-1.4807181732680892,0.0072371946,-0.13102622791607568,-0.048068174050914805
IND,2023,11,-1.529467401109934,0.0014643205,-0.13019411065844042,-0.05119905195057454
IND,2023,12,-1.6018021051160238,0.021142399,-0.13203046464776627,-0.04012674630972001
IND,2024,1,-1.665753733678046,0.015875952,-0.13474151462488435,-0.04437103390017375
IND,2024,2,-1.7347899338269497,0.014310023,-0.14746018940980568,-0.05039806207428509
IND,2024,3,-1.8377954845229791,-0.010663256,-0.1665292883766246,-0.07300966907327582
IND,2024,4,-1.8078124722891664,-0.03587764,-0.1929730482711393,-0.09871580557282761
IND,2024,5,-1.8543259806370884,1.8809602e-05,-0.20181667635893233,-0.08071538478207071
IND,2024,6,-1.941968934721807,-0.014053097,-0.20486923952679414,-0.09037955419383677
IND,2024,7,-2.155280988101749,-0.032187175,-0.21034120781029905,-0.10344878850005328
IND,2024,8,-2.3159689262844174,-0.02534273,-0.20894698135960058,-0.0987844319583295
IND,2024,9,-2.3475657268324013,-0.036209516,-0.21124459139693624,-0.10622354704017976
IND,2024,10,-2.337450872382532,-0.032373097,-0.20260485882538798,-0.10046580272407629
IND,2024,11,-2.2936010126672457,-0.022103976,-0.2159679331281797,-0.09964955968505207
