file_name,rows,columns_count,column_names,time_column,min_year,max_year,missing_percent
sathwiksalian1515_17707442860387425.csv,108,4,"Country, State, Year, Urban Population (UOM:%(Percentage)), Scaling Factor:1",Year,1991,2011,1.16
sathwiksalian1515_17707443074476774.csv,72,4,"Country, State, Year, Annual Exponential Growth Rate (UOM:%(Percentage)), Scaling Factor:1",Year,1991,2001,2.08
sathwiksalian1515_17707448938762043.csv,180,8,"Country, State, Year, Additional Info, Percentage Of Households With Source Of Drinking Water (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households With Electricity (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households With Septic Tank Or Flush (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households With No Latrine (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2012,27.92
sathwiksalian1515_1770744917335151.csv,72,8,"Country, State, Year, Water Closet  (UOM:%(Percentage)), Scaling Factor:1, Pit Latrine (UOM:%(Percentage)), Scaling Factor:1, Other Latrine (UOM:%(Percentage)), Scaling Factor:1, Total House Holds With Latrines (UOM:%(Percentage)), Scaling Factor:1, No Latrine  (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707451457947118.csv,9,5,"Country, Year, Metro Rail Project, Additional Info, Revenue Earned (UOM:INR(IndianRupees)), Scaling Factor:10000000",Year,2012,2014,20.0
sathwiksalian1515_17707451684837441.csv,40,5,"Country, Year, Source Countries, Annual Urban Population At Mid-Year (UOM:Number), Scaling Factor:1000, Percentage Of Population Living In Urban Areas (UOM:%(Percentage)), Scaling Factor:1",Year,2000,2018,0.0
sathwiksalian1515_17707451899484348.csv,42,6,"Country, Year, Name Of Urban Lobal Body (Ulb) Population Category, Capital Expenditure For City Finance National Performance With Population Category (UOM:INR(IndianRupees)), Scaling Factor:10000000, Capital Expenditure Per Capita For City Finance National Performance With Population Category (UOM:INR(IndianRupees)), Scaling Factor:1, Percentage Of Data Availability For City Finance National Performance Capital Expenditure With Population Category (UOM:%(Percentage)), Scaling Factor:1",Year,2016,2022,0.0
sathwiksalian1515_17707452085821574.csv,4190,9,"Country, Year, State Name, Type Of Urban Lobal Body (Ulb) , Category Of Urban Lobal Body (Ulb), Weighted Average Own Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000, Median Own Revenue Per Capita (UOM:INR(IndianRupees)), Scaling Factor:1, Percentage Of Weighted Average Own Revenues To Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Cities Where Own Revenues Meet Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1",Year,2015,2022,0.0
sathwiksalian1515_17707452205464087.csv,40,6,"Country, Year, Deficit Or Surplus, Urban Lobal Body Population Category, Revenue  (UOM:INR(IndianRupees)), Scaling Factor:10000000, Expenditure  (UOM:INR(IndianRupees)), Scaling Factor:10000000",Year,2015,2022,0.0
sathwiksalian1515_17707840147074175.csv,216,5,"Country, State, Year, Condition Of House, Percentage Of Households (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707840304250104.csv,72,10,"Country, State, Year, Total Number Of Households (UOM:Number), Scaling Factor:1, Number Of Households Owned (UOM:Number), Scaling Factor:1, Percentage Of Households Owned (UOM:%(Percentage)), Scaling Factor:1, Number Of Households Rented (UOM:Number), Scaling Factor:1, Percentage Of Households Rented (UOM:%(Percentage)), Scaling Factor:1, Number Of Other Households (UOM:Number), Scaling Factor:1, Percentage Of Other Households (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_1770784041383848.csv,72,12,"Country, State, Year, Total Number Of Households (UOM:Number), Scaling Factor:1, Percentage Of Households Having No Exclusive Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having One Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Two Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Three Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Five Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Six Rooms And Above (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms And Above (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
