Country,Year,migration_risk
IND,1961,0.7444039488500307
IND,1962,0.743480899369924
IND,1963,0.7435976857286367
IND,1964,0.7420504847328374
IND,1965,0.7398341273589839
IND,1966,0.7296707420683846
IND,1967,0.7219819765872542
IND,1968,0.7246268278246127
IND,1969,0.7258062284414467
IND,1970,0.7354905401112796
IND,1971,0.735081646138709
IND,1972,0.7492963039850604
IND,1973,0.7678863920600977
IND,1974,0.7929284280965302
IND,1975,0.8209842700778568
IND,1976,0.834246719978957
IND,1977,0.842070162288357
IND,1978,0.8320672873678191
IND,1979,0.818644176665997
IND,1980,0.8067267533677277
IND,1981,0.7941141445609364
IND,1982,0.7800651118582868
IND,1983,0.7570435994781969
IND,1984,0.7483076537975665
IND,1985,0.7437820074620101
IND,1986,0.7441151499185157
IND,1987,0.736054162634819
IND,1988,0.7265388598812116
IND,1989,0.7181332486794609
IND,1990,0.6893637317810061
IND,1991,0.6827116083209731
IND,1992,0.6747534679198951
IND,1993,0.6881579285599594
IND,1994,0.5917653037154177
IND,1995,0.5800984894172978
IND,1996,0.5701499196679546
IND,1997,0.6485485752520673
IND,1998,0.6426402062089268
IND,1999,0.6849741316929988
IND,2000,0.6809699690096561
IND,2001,0.6795869490815513
IND,2002,0.6332842431156331
IND,2003,0.6245958840804521
IND,2004,0.6135835290694707
IND,2005,0.5970591054742714
IND,2006,0.5843614543199271
IND,2007,0.5710398091113584
IND,2008,0.5555424368459894
IND,2009,0.5481046940695623
IND,2010,0.5445417502764821
IND,2011,0.5440419866323601
IND,2012,0.532398736021015
IND,2013,0.5164094098876989
IND,2014,0.49667708933349547
IND,2015,0.48140497389237763
IND,2016,0.46718375390388217
IND,2017,0.45499264573777287
IND,2018,0.4457515306747653
IND,2019,0.4227273290293965
IND,2020,0.40927030071341974
IND,2021,0.37434662424655646
IND,2022,0.3377441137946737
IND,2023,0.29612082773754445
IND,2024,0.279114609823057
IND,2025,0.28022578668722825
