Country,Trade_Risk
Curacao,0.8291213
Installations In International Waters,0.71074533
Jersey,0.7059189
Pitcairn Is .,0.6625287
N. Mariana Is .,0.60419536
Petroleum Products,0.5966732
Canary Is,0.568549
Marshall Island,0.52280706
Saharwi A.Dm Rp,0.51243013
Tokelau Is,0.50812805
Niue Is,0.5036261
Channel Is,0.49360985
Heard Macdonald,0.49054313
Cocos Is,0.4899995
Guernsey,0.4738714
Sint Maarten (Dutch Part),0.47312358
Neutral Zone,0.46595183
Christmas Is.,0.45504722
Fr S Ant Tr,0.44480392
Antartica,0.4442485
Falkland Is,0.4404035
Nauru Rp,0.43522054
Pitcairn Is.,0.43352833
St Pierre,0.4303474
Greenland,0.41662043
Panama C Z,0.4084876
Wallis F Is,0.408295
Ameri Samoa,0.3916891
Norfolk Is,0.38358784
Pacific Is,0.379539
Us Minor Outlying Islands,0.3790272
Anguilla,0.37681097
Faroe Is.,0.376572
St Helena,0.37635753
Tuvalu,0.37415913
Vatican City,0.37347662
N. Mariana Is.,0.37274972
Andorra,0.35878944
Bahamas,0.35704753
Congo D. Rep .,0.3524078
Br Virgn Is,0.35031945
Turks C Is,0.34115222
Korea Dp Rp,0.3335012
Kiribati Rep,0.3315355
Gibraltar,0.32959095
Bosnia - Hrzgovin,0.32744944
South Sudan,0.321758
Montenegro,0.31615034
Cook Is,0.30619168
Montserrat,0.30276015
Solomon Is,0.30262062
Micronesia,0.30093396
Macao,0.30090386
Guinea Bissau,0.29861954
Palau,0.29710516
Malta,0.29522243
Union Of Serbia & Montenegro,0.294093
State Of Palest,0.29262957
Liechtenstein,0.28749388
Fr Guiana,0.2821105
Timor Leste,0.27831835
Guam,0.2709584
Cayman Is,0.2704328
Virgin Is Us,0.267981
Cape Verde Is,0.2604936
Antigua,0.25990143
St Vincent,0.2588038
Unspecified,0.254977
San Marino,0.24886018
Swaziland,0.2431114
Mayotte,0.24278483
Congo D. Rep.,0.23944362
Lesotho,0.23515058
Sao Tome,0.23256415
Tonga,0.23082884
Mongolia,0.22571419
Lao Pd Rp,0.22427334
New Caledonia,0.22241451
Eritrea,0.22209282
Tajikistan,0.22173916
Samoa,0.21893911
Aruba,0.21689983
Monaco,0.21624486
Martinique,0.21564086
St Kitt N A,0.21453921
C Afri Rep,0.21275118
Fr Polynesia,0.21236067
Namibia,0.21209347
Vanuatu Rep,0.20103414
Brunei,0.1997107
Iceland,0.19901511
Belize,0.189977
Netherlandantil,0.18802297
Libya,0.18569598
Venezuela,0.18560301
Somalia,0.18540165
Chad,0.18385324
Luxembourg,0.1763284
Bosnia-Hrzgovin,0.17054677
Guadeloupe,0.16737731
Suriname,0.16477868
Grenada,0.16458166
Armenia,0.16339342
Dominica,0.16271694
Barbados,0.16183579
Comoros,0.16140653
St Lucia,0.15928426
Cyprus,0.15788934
Belarus,0.15742163
Bermuda,0.15703024
Togo,0.15131627
Niger,0.15001841
Greece,0.14935365
Liberia,0.14613184
Pakistan Ir,0.14446977
Azerbaijan,0.14265215
Equtl Guinea,0.14245015
Nicaragua,0.14065786
Cuba,0.13865414
Mauritius,0.13789986
Syria,0.13718781
Djibouti,0.13269761
Yemen Republc,0.13247289
Sierra Leone,0.13170852
Fiji Is,0.13126196
Honduras,0.13079439
Seychelles,0.12952721
Burundi,0.12839015
Madagascar,0.12791853
Mali,0.12782966
Jordan,0.12762497
Macedonia,0.12600504
Georgia,0.12465434
Guyana,0.12414447
Serbia,0.12218071
Bhutan,0.11979737
Trinidad,0.11964429
Norway,0.11877751
Kyrghyzstan,0.1166944
Ukraine,0.11591979
Uzbekistan,0.114982784
El Salvador,0.11429546
Panama Republic,0.11274297
Chile,0.11167915
Moldova,0.1086816
Romania,0.10802502
Turkmenistan,0.107466854
Angola,0.107322924
Ecuador,0.10719324
Rwanda,0.10688599
Puerto Rico,0.10633772
Zimbabwe,0.10627465
Botswana,0.10618855
Papua N Gna,0.10557981
Albania,0.10424192
Jamaica,0.10388557
Brazil,0.10348345
New Zealand,0.10099517
Iraq,0.098105304
Benin,0.097221985
Kazakhstan,0.09575791
Mozambique,0.09223293
Indonesia,0.09185664
Paraguay,0.091262035
Austria,0.09084367
Sudan,0.08991421
Estonia,0.088932745
Cote D' Ivoire,0.088757984
Guatemala,0.08769042
Mauritania,0.08725564
Bulgaria,0.08711197
Gabon,0.08709555
Uruguay,0.085536025
Argentina,0.084358454
Afghanistan,0.08401346
Hungary,0.083669074
Congo P Rep,0.083422504
Algeria,0.08284287
Saudi Arab,0.08200844
Latvia,0.08152723
Haiti,0.08138491
Bolivia,0.07994102
Colombia,0.07942557
Uganda,0.07872631
Croatia,0.07498513
Qatar,0.071738675
Cameroon,0.071141414
Ireland,0.07098349
Philippines,0.07096736
Slovenia,0.07059626
Senegal,0.06990115
United Arab Emirates,0.06913206
Malawi,0.06763088
Maldives,0.06702884
Burkina Faso,0.066760436
Morocco,0.06598769
Guinea,0.0653852
Costa Rica,0.06356291
Israel,0.06335191
Reunion,0.06325774
Switzerland,0.06284172
Ethiopia,0.06262044
Singapore,0.06178249
Turkey,0.061131958
Cambodia,0.060714416
Lithuania,0.060559627
Dominic Rep,0.058489226
Ghana,0.05837388
Kenya,0.058038823
Zambia,0.05778868
Slovak Rep,0.05777504
Taiwan,0.057530235
Iran,0.057409227
Myanmar,0.057153244
Lebanon,0.056864295
Finland,0.056429125
Bangladesh Pr,0.056358602
Gambia,0.05622489
Baharain Is,0.05551782
Kuwait,0.054563705
Tanzania Rep,0.053536113
China P Rp,0.05333894
Czech Republic,0.053191848
Egypt A Rp,0.05317975
Tunisia,0.05208863
Peru,0.051727623
Portugal,0.051231656
Sri Lanka Dsr,0.04933525
Poland,0.047470693
Vietnam Soc Rep,0.04717318
Netherland,0.04676014
South Africa,0.04654408
Mexico,0.046537153
Malaysia,0.04649069
Korea Rp,0.045992516
Nigeria,0.045485053
U Arab Emts,0.04538217
Oman,0.04508909
U S A,0.044655405
Denmark,0.044342805
Australia,0.044137396
Nepal,0.044105314
India,0.043648593
Sweden,0.04297619
Russia,0.0425136
Italy,0.042391602
Thailand,0.042146455
Spain,0.04209567
U K,0.041783083
Belgium,0.041760974
Hong Kong,0.041383345
France,0.041188437
Canada,0.041181654
Japan,0.040946726
Germany,0.040879715
United Kingdom,0.024463682
United States Of America,0.012152597
